"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",3,1,0.333,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",373,109,0.292,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",775,242,0.312,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",696,241,0.346,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",24,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",360,122,0.339,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1048,401,0.383,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",126,45,0.357,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",112,43,0.384,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",372,124,0.333,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",376,144,0.383,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",85,32,0.376,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",627,219,0.349,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",781,267,0.342,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",690,244,0.354,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",599,225,0.376,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",557,210,0.377,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",790,310,0.392,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",3905,2217,0.568,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",318,113,0.355,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",14,3,0.214,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",425,144,0.339,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",869,306,0.352,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",743,274,0.369,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",29,2,0.069,3
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1157,467,0.404,2
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",421,187,0.444,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",167,61,0.365,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",156,60,0.385,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",410,149,0.363,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",362,155,0.428,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",161,63,0.391,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",540,220,0.407,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",832,325,0.391,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",615,260,0.423,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",532,200,0.376,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",642,271,0.422,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",509,179,0.352,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4309,2480,0.576,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",396,151,0.381,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",7,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",402,132,0.328,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",915,334,0.365,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",830,273,0.329,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",24,1,0.042,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",503,191,0.38,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1163,495,0.426,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",159,69,0.434,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",179,74,0.413,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",469,174,0.371,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",385,152,0.395,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",136,60,0.441,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",572,228,0.399,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",808,337,0.417,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",616,243,0.394,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",652,263,0.403,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",558,216,0.387,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",663,245,0.37,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4315,2678,0.621,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",415,157,0.378,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",4,0,0,3
